Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN,Algorithm,Ngrams,Feature Extraction,Training Dataset,Test Dataset,Test Distribution,F_Question_mark,Binary Representation,Stop words,Additional Settings,Fitting Time,Prediction Time
0.8793337557707975,0.8785753324831481,1.0,0.9353634291810115,9645.0,69.0,1333.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,True,,False,3.7068276405334473,9.308433771133423
0.526615969581749,0.525488327775131,1.0,0.68894440974391,1103.0,5.0,996.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,True,,False,3.7068276405334473,1.031554937362671
0.9039558251108898,0.9024756189047262,0.9978227060653189,0.9477571520015756,9624.0,362.0,1040.0,21.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,True,2.772132158279419,6.078046560287476
0.9039558251108898,0.9024756189047262,0.9978227060653189,0.9477571520015756,9624.0,362.0,1040.0,21.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,True,2.772132158279419,6.258439302444458
0.5346958174904943,0.5298076923076923,0.99909338168631,0.6924285265472825,1102.0,23.0,978.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,english,True,2.772132158279419,0.6207616329193115
0.8823209921245587,0.8812939778854062,0.9998963193364437,0.9368564212162425,9644.0,103.0,1299.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,False,3.4269461631774902,8.084628343582153
0.8823209921245587,0.8812939778854062,0.9998963193364437,0.9368564212162425,9644.0,103.0,1299.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,english,False,3.4269461631774902,7.781690359115601
0.5261406844106464,0.5252380952380953,1.0,0.6887293162660006,1103.0,4.0,997.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,english,False,3.4269461631774902,0.8686785697937012
0.9047705259346429,0.9029353840382631,0.9982374287195438,0.9481977545794761,9628.0,367.0,1035.0,17.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,True,2.8658618927001953,6.901390790939331
0.9047705259346429,0.9029353840382631,0.9982374287195438,0.9481977545794761,9628.0,367.0,1035.0,17.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,True,2.8658618927001953,6.630098819732666
0.532319391634981,0.528564570331253,0.9981867633726201,0.6911487758945386,1101.0,19.0,982.0,2.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,,True,2.8658618927001953,0.71913743019104
0.8812347243595546,0.8803286170698311,0.9998963193364437,0.9363106796116505,9644.0,91.0,1311.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,False,3.8625667095184326,8.787226915359497
0.8812347243595546,0.8803286170698311,0.9998963193364437,0.9363106796116505,9644.0,91.0,1311.0,1.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,False,False,,False,3.8625667095184326,8.658737897872925
0.5261406844106464,0.5252380952380953,1.0,0.6887293162660006,1103.0,4.0,997.0,0.0,Support Vector Machine,"[1, 2]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,False,False,,False,3.8625667095184326,1.009629249572754
0.8731782384357745,0.8731667571971754,1.0,0.9322894011889227,9645.0,1.0,1401.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,True,0.18549013137817383,0.23433899879455566
0.8731782384357745,0.8731667571971754,1.0,0.9322894011889227,9645.0,1.0,1401.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,True,0.18549013137817383,0.25235772132873535
0.5242395437262357,0.5242395437262357,1.0,0.6878702837542875,1103.0,0.0,1001.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,True,english,True,0.18549013137817383,0.01795363426208496
0.8731782384357745,0.8731667571971754,1.0,0.9322894011889227,9645.0,1.0,1401.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,False,0.09892845153808594,0.28246212005615234
0.8731782384357745,0.8731667571971754,1.0,0.9322894011889227,9645.0,1.0,1401.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,english,False,0.09892845153808594,0.25694751739501953
0.5242395437262357,0.5242395437262357,1.0,0.6878702837542875,1103.0,0.0,1001.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,tweets,52.42/47.58,True,True,english,False,0.09892845153808594,0.01795196533203125
0.8731782384357745,0.8731667571971754,1.0,0.9322894011889227,9645.0,1.0,1401.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,,True,0.09574413299560547,0.23936009407043457
0.8731782384357745,0.8731667571971754,1.0,0.9322894011889227,9645.0,1.0,1401.0,0.0,Naïve Bayes,"[1, 1]",TfidfVectorizer,dataset_12.9%,dataset_12.9%,87.31/12.69,True,True,,True,0.09574413299560547,0.24338173866271973
